max_depth,model_name,auc_train,auc_test,mean_trace,median_trace,trace_norm,mean_max_eig,median_max_eig,mean_explanation_fit,median_explanation_fit
2,DT - 2,0.72825,0.723,0.042310559301621746,0.042310559301621746,0.0021155279650810874,0.027454714771414677,0.027454714771414677,0.18973217740422652,0.18973217740422652
4,DT - 4,0.7975,0.757,0.0675567768569522,0.0675567768569522,0.00337783884284761,0.02686462722767359,0.02686462722767359,0.15907811047217058,0.15907811047217058
6,DT - 6,0.87875,0.821,0.0740783351346987,0.0740783351346987,0.0037039167567349354,0.024192384783697698,0.024192384783697698,0.112860002027618,0.112860002027618
8,DT - 8,0.92975,0.827,0.08935829467860082,0.08935829467860082,0.004467914733930041,0.026203879421051776,0.026203879421051776,0.09985080013200033,0.09985080013200033
10,DT - 10,0.96775,0.838,0.08794494787286809,0.08794494787286809,0.004397247393643404,0.022746733823545195,0.022746733823545195,0.08267112920400382,0.08267112920400382
12,DT - 12,0.988,0.824,0.09201900551602607,0.09201900551602607,0.004600950275801303,0.02438334355745641,0.02438334355745641,0.07967375331478255,0.07967375331478255
14,DT - 14,0.99425,0.836,0.0888265462262851,0.0888265462262851,0.004441327311314255,0.023499842145819856,0.023499842145819856,0.07559644783333198,0.07559644783333198
16,DT - 16,0.9965,0.824,0.09354511749593239,0.09354511749593239,0.00467725587479662,0.02517642394261849,0.02517642394261849,0.07872669086824177,0.07872669086824177
18,DT - 18,0.99925,0.821,0.09340944035011386,0.09340944035011386,0.004670472017505693,0.023235291781979785,0.023235291781979785,0.07784489949632481,0.07784489949632481
