model_name,auc_train,auc_test,mean_trace,median_trace,trace_norm,mean_max_eig,median_max_eig,mean_explanation_fit,median_explanation_fit
LR - 2,0.56425,0.593,0.004900036894587331,0.004900036894587331,0.0024500184472936656,0.0045611539263340235,0.0045611539263340235,0.3376164902949421,0.3376164902949421
LR - 3,0.6075,0.615,0.02079442316701109,0.02079442316701109,0.0069314743890036955,0.015057045235209829,0.015057045235209829,0.3270525146981462,0.3270525146981462
LR - 4,0.64175,0.624,0.035251420118251095,0.035251420118251095,0.008812855029562774,0.01614815154289502,0.01614815154289502,0.32108197699527374,0.32108197699527374
LR - 5,0.64025,0.636,0.03666586712080169,0.03666586712080169,0.007333173424160339,0.015869080276025536,0.015869080276025536,0.31562004183057085,0.31562004183057085
LR - 6,0.66725,0.656,0.06555449226816387,0.06555449226816387,0.010925748711360645,0.025963535115137753,0.025963535115137753,0.30975724102724006,0.30975724102724006
LR - 7,0.6805,0.681,0.0667359271447176,0.0667359271447176,0.0095337038778168,0.023936771854111073,0.023936771854111073,0.3080195078986183,0.3080195078986183
LR - 8,0.69675,0.704,0.08368714671715903,0.08368714671715903,0.010460893339644879,0.029086719308271433,0.029086719308271433,0.3017367293815658,0.3017367293815658
LR - 9,0.7015,0.705,0.09017330638635573,0.09017330638635573,0.010019256265150638,0.03044258333109541,0.03044258333109541,0.29920298953704455,0.29920298953704455
LR - 10,0.70175,0.704,0.09117884592560421,0.09117884592560421,0.00911788459256042,0.031096458919353726,0.031096458919353726,0.2979942784789469,0.2979942784789469
LR - 11,0.70025,0.707,0.09147091909482499,0.09147091909482499,0.008315538099529545,0.031231909313225413,0.031231909313225413,0.2971398472139687,0.2971398472139687
LR - 12,0.71775,0.71,0.10158078920086652,0.10158078920086652,0.008465065766738878,0.03491016533228819,0.03491016533228819,0.29306067444608774,0.29306067444608774
LR - 13,0.75725,0.736,0.10919057694742487,0.10919057694742487,0.008399275149801913,0.027249170759401663,0.027249170759401663,0.28863718587386267,0.28863718587386267
LR - 14,0.80925,0.801,0.14466205738658033,0.14466205738658033,0.010333004099041454,0.04950023367672363,0.04950023367672363,0.2795376195396678,0.2795376195396678
LR - 15,0.82525,0.808,0.15495310612791416,0.15495310612791416,0.010330207075194277,0.048315581418212405,0.048315581418212405,0.2741929836487202,0.2741929836487202
LR - 16,0.8245,0.807,0.15645640683028508,0.15645640683028508,0.009778525426892818,0.04769343894251506,0.04769343894251506,0.27378505034867107,0.27378505034867107
LR - 17,0.84525,0.823,0.16826104932636285,0.16826104932636285,0.009897708783903697,0.04943048128734012,0.04943048128734012,0.2700427493276053,0.2700427493276053
LR - 18,0.846,0.823,0.1681793765025896,0.1681793765025896,0.00934329869458831,0.04932483663238209,0.04932483663238209,0.2697017817597881,0.2697017817597881
