model_name,auc_train,auc_test,mean_trace,median_trace,mean_max_eig,median_max_eig,mean_explanation_fit,median_explanation_fit
"NN - (10,)",0.9789550632810124,0.9670289173692277,0.15051432046555313,0.15166722298958613,0.03902347215268115,0.03958665010398079,0.18437223668946007,0.1857032984480431
"NN - (20,)",0.986452783244532,0.9734165869741795,0.1382075922204167,0.13929655780129724,0.03486698325661666,0.03445071071278119,0.1662612795502802,0.16741203084602077
"NN - (30,)",0.9886982191715067,0.9728271960115077,0.1309825096736727,0.1297860350822893,0.0321647527897731,0.032007641289110614,0.15556245164463794,0.15241419114816573
"NN - (40,)",0.9908962543400694,0.9724342687030598,0.13088558166278122,0.12847815855872682,0.03183835780848944,0.029895903881427606,0.1506834179641346,0.14764762240586904
"NN - (50,)",0.9922444759116147,0.9716844257539444,0.12509602109908977,0.12473581883995288,0.02987317221004308,0.02999120752946384,0.14160805939528148,0.14123633448429337
"NN - (60,)",0.9935970975535608,0.9732489326541801,0.12294486418179458,0.12170973552183918,0.028042527816469022,0.028092959835722336,0.13873507969602622,0.13868352356737956
"NN - (70,)",0.9949481191699068,0.97345259864196,0.12334595495291349,0.12388164323803191,0.027850176401485967,0.028599692557175843,0.13650897264971662,0.13642948573695843
"NN - (80,)",0.9963469415510648,0.9738815376181883,0.12119407634985815,0.12006834248868277,0.02768338881175968,0.02744744432824918,0.13260462062985306,0.13143408714325672
"NN - (90,)",0.9963967423478775,0.9730236596657317,0.12209189871468791,0.120415862294522,0.027209270178189804,0.026705523721725438,0.13413011091803212,0.13101677257097677
"NN - (100,)",0.9980975695611128,0.973641859962628,0.11782396019169225,0.11830287723790392,0.026666857971452806,0.026433209647975235,0.1271670059890017,0.1285287323487279
