max_depth,model_name,auc_train,auc_test,mean_trace,median_trace,mean_max_eig,median_max_eig,mean_explanation_fit,median_explanation_fit
2,RF - 3 max_depth - 2 trees,0.8917460679370869,0.797702055465971,0.06531514905335616,0.06646405381628102,0.022749146256767615,0.02166254827612254,0.12535610449225695,0.12902275330494553
3,RF - 3 max_depth - 3 trees,0.9160028560456966,0.8349265161912459,0.05599724239080206,0.056960993929497425,0.018559037993238547,0.020546567289905483,0.14096270704947464,0.14349291890985374
5,RF - 3 max_depth - 5 trees,0.9406128498055969,0.8630436261348677,0.05474415732377598,0.052646239159633415,0.019196114911305618,0.019069728207303335,0.17791732237674499,0.1737369875551893
8,RF - 3 max_depth - 8 trees,0.9570127122033952,0.8886159115553438,0.05258099713100498,0.05181337583124838,0.015668283498688852,0.015598202129732786,0.1991204714082555,0.197697661207401
12,RF - 3 max_depth - 12 trees,0.9641614265828252,0.8942969522125169,0.05411985767810314,0.05625289419353962,0.016116221159485696,0.01601417539323138,0.2201536194249349,0.2219288662769121
16,RF - 3 max_depth - 16 trees,0.9694201107217715,0.9084567399837548,0.05282545190606179,0.05220758995745175,0.016286139935039017,0.015076458530874718,0.22895374449135925,0.22764086755776905
20,RF - 3 max_depth - 20 trees,0.9721233539736636,0.9138168766680405,0.0527956256685362,0.05344043543770406,0.015520523267672342,0.015749396221267052,0.2357275546267136,0.23420229077476115
25,RF - 3 max_depth - 25 trees,0.9730675690811053,0.9156066565567244,0.05409116358896161,0.05406073311751658,0.016402017818076917,0.01684410994004759,0.2428978617795868,0.24349471406027867
30,RF - 3 max_depth - 30 trees,0.9742225875614009,0.9125516667400237,0.05264525915374516,0.05234802162226746,0.015210473179774694,0.015245901133147359,0.2463736710174599,0.24739108519300254
35,RF - 3 max_depth - 35 trees,0.9728715659450551,0.9083467043322037,0.053237741641834105,0.0533115786029696,0.015800149110987906,0.01596750083546557,0.24809917705843582,0.24805787317751224
40,RF - 3 max_depth - 40 trees,0.9739691835069362,0.9200080826187685,0.05157409624359567,0.05149426600157668,0.015084531076162967,0.014672522222883096,0.2521110952474665,0.2524574553508019
50,RF - 3 max_depth - 50 trees,0.9761708187330997,0.9201829392723242,0.05257356745174528,0.05239321221663722,0.015317202500271793,0.01499411636342373,0.2539988894949593,0.2538589781441955
60,RF - 3 max_depth - 60 trees,0.9769202307236917,0.9197828096303203,0.05169294453781442,0.05080611383629355,0.014961480003522301,0.01454677067979193,0.25766628746950193,0.2575038901837111
70,RF - 3 max_depth - 70 trees,0.9777178434854958,0.9242202473601446,0.05192389436996554,0.05177337455525644,0.014927160690237501,0.015141246471182592,0.25770037130097095,0.25826176249628063
80,RF - 3 max_depth - 80 trees,0.9772202355237685,0.92615607456816,0.0526703761697991,0.0525054295155282,0.015238727921864526,0.015337986479574284,0.2595009837847192,0.2588911372236855
90,RF - 3 max_depth - 90 trees,0.9782242515880254,0.9255594812719321,0.05189502408234675,0.05201871273739613,0.015067114906351828,0.015079392069416261,0.2608669013085693,0.26104022355981793
100,RF - 3 max_depth - 100 trees,0.9782230515688252,0.9257703495932681,0.05209905417062628,0.05257790896506362,0.014688810368007546,0.014708555385785806,0.26105000094163244,0.2609078334206616
